x_m,y_m,z_m,v,yaw
0.0996267361111108,0.0,0,5,0
0.1992534722222217,0.0,0,5,0
0.2988802083333325,0.0,0,5,0
0.3985069444444433,0.0,0,5,0
0.4981336805555543,0.0,0,5,0
0.5977604166666651,0.0,0,5,0
0.6973871527777761,0.0,0,5,0
0.7970138888888867,0.0,0,5,0
0.8966406249999977,0.0,0,5,0
0.9962673611111086,0.0,0,5,0
1.0958940972222224,0.0,0,5,0
1.195520833333336,0.0,0,5,0
1.295147569444447,0.0,0,5,0
1.3947743055555577,0.0,0,5,0
1.4944010416666689,0.0,0,5,0
1.5940277777777796,0.0,0,5,0
1.6936545138888903,0.0,0,5,0
1.7932812500000013,0.0,0,5,0
1.892907986111112,0.0,0,5,0
1.992534722222223,0.0,0,5,0
2.0921007360966057,0.0034775739188773,0,5,0
2.191666749970989,0.0069551478377547,0,5,0
2.290747489857833,0.017371167904119,0,5,0
2.389828229744677,0.0277871879704832,0,5,0
2.4879407908620066,0.0450906246724258,0,5,0
2.5860533519793365,0.0623940613743684,0,5,0
2.6827195438536138,0.0865007616210704,0,5,0
2.7793857357278915,0.1106074618677723,0,5,0
2.8741344199315195,0.1413998540581985,0,5,0
2.9688831041351484,0.1721922462486247,0,5,0
3.0612524868570663,0.2095202810292762,0,5,0
3.153621869578984,0.2468483158099275,0,5,0
3.24316175382468,0.2905300509885734,0,5,0
3.332701638070376,0.3342117861672193,0,5,0
3.41897561734329,0.3840343255262838,0,5,0
3.5052495966162045,0.4338568648853482,0,5,0
3.587837182084596,0.4895773784330004,0,5,0
3.670424767552986,0.5452978919806526,0,5,0
3.7489234374050593,0.6066448050503397,0,5,0
3.827422107257133,0.6679917181200267,0,5,0
3.901449268560711,0.7346660332521054,0,5,0
3.97547642986429,0.8013403483841842,0,5,0
4.044671283272714,0.8730171031352086,0,5,0
4.113866136681138,0.9446938578862332,0,5,0
4.177891434926827,1.0210237084959972,0,5,0
4.241916733172514,1.0973535591057613,0,5,0
4.3004604247685085,1.177964483203772,0,5,0
4.359004116364504,1.2585754073017823,0,5,0
4.411780866505442,1.3430745170848697,0,5,0
4.46455761664638,1.4275736268679566,0,5,0
4.511310197895489,1.5155490839915389,0,5,0
4.558062779144598,1.6035245411151209,0,5,0
4.598563325128794,1.6945475639418277,0,5,0
4.63906387111299,1.7855705867685343,0,5,0
4.673114987115786,1.8791975401979129,0,5,0
4.707166103118584,1.972824493627292,0,5,0
4.734601828157821,2.068599051319015,0,5,0
4.762037553197058,2.164373609010738,0,5,0
4.78272416889848,2.2618289774635087,0,5,0
4.803410784599902,2.35928434591628,0,5,0
4.817247466924185,2.457945539562352,0,5,0
4.831084149248466,2.5566067332084232,0,5,0
4.8380034598952735,2.655992889435288,0,5,0
4.844922770542081,2.7553790456621527,0,5,0
4.844890985636105,2.855005768478185,0,5,0
4.844859200730128,2.954632491294217,0,5,0
4.837876475187142,3.0540142122156086,0,5,0
4.830893749644156,3.1533959331370003,0,5,0
4.816994116415987,3.2520482777892656,0,5,0
4.8030944831878175,3.350700622441531,0,5,0
4.782345687389864,3.4481427713410824,0,5,0
4.76159689159191,3.545584920240634,0,5,0
4.734100060321748,3.6413419522502295,0,5,0
4.706603229051586,3.737098984259825,0,5,0
4.672492378507835,3.83070419129621,0,5,0
4.638381527964082,3.9243093983325936,0,5,0
4.5978229102678005,4.015306560044745,0,5,0
4.557264292571516,4.106303721756894,0,5,0
4.51045558547368,4.194249329088206,0,5,0
4.46364687837584,4.2821949364195175,0,5,0
4.410816221800101,4.366660353217209,0,5,0
4.357985565224363,4.451125770014897,0,5,0
4.299390449340929,4.5316993221487305,0,5,0
4.240795333457493,4.6122728742825645,0,5,0
4.176721343707462,4.688561856100228,0,5,0
4.112647353957431,4.764850837917891,0,5,0
4.043406779144229,4.83648342622164,0,5,0
3.974166204331026,4.908116014525388,0,5,0
3.900096514562896,4.974743080880441,0,5,0
3.826026824794763,5.041370147235495,0,5,0
3.747489026696661,5.102666959243004,0,5,0
3.66895122859856,5.163963771250514,0,5,0
3.5863281058099377,5.219631576545496,0,5,0
3.5037049830213167,5.275299381840478,0,5,0
3.417399230555407,5.325066859217191,0,5,0
3.331093478089497,5.374834336593905,0,5,0
3.24152573964696,5.418458937399947,0,5,0
3.151958001204424,5.462083538205992,0,5,0
3.059564819007335,5.499352595663047,0,5,0
2.9671716368102463,5.536621653120102,0,5,0
2.872403323948572,5.567353697721643,0,5,0
2.7776350110868977,5.5980857423231845,0,5,0
2.680953456747494,5.622130319061268,0,5,0
2.5842719024080907,5.646174895799351,0,5,0
2.486148320683194,5.663417379089265,0,5,0
2.388024738958296,5.680659862379179,0,5,0
2.2889373722055524,5.6910064134671705,0,5,0
2.189850005452809,5.701352964555162,0,5,0
2.0902817934004303,5.704790594794606,0,5,0
1.990713581348052,5.708228225034048,0,5,0
1.891149807305524,5.7117463675752,0,5,0
1.7915860332629965,5.71526451011635,0,5,0
1.692511958909492,5.725749966964187,0,5,0
1.5934378845559876,5.736235423812025,0,5,0
1.4953363848341694,5.753599777294091,0,5,0
1.3972348851123515,5.770964130776156,0,5,0
1.3005840947548677,5.795132962567017,0,5,0
1.203933304397384,5.819301794357876,0,5,0
1.1092042875565482,5.8501545141527975,0,5,0
1.0144752707157123,5.88100723394772,0,5,0
0.9221297250543444,5.918394233553869,0,5,0
0.8297841793929763,5.955781233160018,0,5,0
0.7402721858263362,5.99952008400361,0,5,0
