# x_m,y_m,w_tr_right_m,w_tr_left_m,v,theta
0.1868001302083327,0.0,1.5,1.5,2,0
0.3736002604166657,0.0,1.5,1.5,2,0
0.5604003906249985,0.0,1.5,1.5,2,0
0.7472005208333311,0.0,1.5,1.5,2,0
0.9340006510416644,0.0,1.5,1.5,2,0
1.1208007812499972,0.0,1.5,1.5,2,0
1.30760091145833,0.0,1.5,1.5,2,0
1.4944010416666624,0.0,1.5,1.5,2,0
1.6812011718749955,0.0,1.5,1.5,2,0
1.8680013020833288,0.0,1.5,1.5,2,0
2.054801432291667,0.0,1.5,1.5,2,0
2.241601562500005,0.0,1.5,1.5,2,0
2.428401692708338,0.0,1.5,1.5,2,0
2.6152018229166707,0.0,1.5,1.5,2,0
2.802001953125004,0.0,1.5,1.5,2,0
2.988802083333337,0.0,1.5,1.5,2,0
3.1756022135416693,0.0,1.5,1.5,2,0
3.362402343750003,0.0,1.5,1.5,2,0
3.549202473958335,0.0,1.5,1.5,2,0
3.736002604166668,0.0,1.5,1.5,2,0
3.922688880181136,0.0065204510978949,1.5,1.5,2,0
4.109375156195604,0.01304090219579,1.5,1.5,2,0
4.295151543483437,0.0325709398202231,1.5,1.5,2,0
4.480927930771269,0.052100977444656,1.5,1.5,2,0
4.664888982866263,0.0845449212607983,1.5,1.5,2,0
4.848850034961256,0.1169888650769407,1.5,1.5,2,0
5.030099144725526,0.162188928039507,1.5,1.5,2,0
5.211348254489796,0.207388991002073,1.5,1.5,2,0
5.3890020373716,0.2651247263591221,1.5,1.5,2,0
5.566655820253404,0.3228604617161713,1.5,1.5,2,0
5.739848412856999,0.3928505269298928,1.5,1.5,2,0
5.913041005460595,0.462840592143614,1.5,1.5,2,0
6.0809282884212745,0.544743845603575,1.5,1.5,2,0
6.248815571381954,0.6266470990635362,1.5,1.5,2,0
6.410579282518668,0.720064360361782,1.5,1.5,2,0
6.572342993655384,0.813481621660028,1.5,1.5,2,0
6.727194716408618,0.9179575845618758,1.5,1.5,2,0
6.882046439161849,1.0224335474637234,1.5,1.5,2,0
7.029231445134486,1.1374590094693868,1.5,1.5,2,0
7.176416451107124,1.25248447147505,1.5,1.5,2,0
7.315217378551332,1.3774988123476977,1.5,1.5,2,0
7.454018305995545,1.5025131532203453,1.5,1.5,2,0
7.5837586561363395,1.636907068378516,1.5,1.5,2,0
7.713499006277135,1.7713009835366873,1.5,1.5,2,0
7.833546440487799,1.9144194534299943,1.5,1.5,2,0
7.953593874698463,2.057537923323302,1.5,1.5,2,0
8.063363296440953,2.208683406007072,1.5,1.5,2,0
8.173132718183446,2.3598288886908416,1.5,1.5,2,0
8.272089124697702,2.518264719534131,1.5,1.5,2,0
8.371045531211962,2.6767005503774186,1.5,1.5,2,0
8.458706621054041,2.841654532484135,1.5,1.5,2,0
8.54636771089612,3.006608514590852,1.5,1.5,2,0
8.622306234616488,3.177276682390927,1.5,1.5,2,0
8.698244758336855,3.347944850191001,1.5,1.5,2,0
8.7620906008421,3.523495387871087,1.5,1.5,2,0
8.825936443347345,3.699045925551173,1.5,1.5,2,0
8.877378427795913,3.8786232212231537,1.5,1.5,2,0
8.928820412244484,4.058200516895133,1.5,1.5,2,0
8.967607816684652,4.240929332744079,1.5,1.5,2,0
9.006395221124816,4.423658148593025,1.5,1.5,2,0
9.032339000482846,4.608647886679409,1.5,1.5,2,0
9.058282779840871,4.793637624765793,1.5,1.5,2,0
9.071256487303636,4.979986667691165,1.5,1.5,2,0
